TS1_DELAY,TS2_DELAY,TS1_THROUGHPUT,TS2_THROUGHPUT
0.000612,0.005038,92710.000000,922343.160000
0.000856,0.005224,92670.000000,1869295.570000
0.001042,0.005383,91220.000000,2635752.430000
0.001281,0.005581,89630.000000,3477584.660000
0.001450,0.005657,83100.000000,4135357.750000
0.001754,0.005788,79630.000000,4709518.480000
0.001796,0.005932,77760.000000,5323017.380000
0.001928,0.006054,80110.000000,5839902.450000
0.002323,0.006213,70940.000000,6395496.530000
0.002414,0.006295,66340.000000,6839173.250000
