TS1_DELAY,TS2_DELAY,TS1_THROUGHPUT,TS2_THROUGHPUT
0.000559,0.006122,64880.000000,577530.570000
0.000653,0.006115,62280.000000,1131176.230000
0.000650,0.006182,62700.000000,1680359.590000
0.000760,0.006266,62430.000000,2297143.320000
0.000767,0.006255,56770.000000,2737271.970000
0.000818,0.006352,60140.000000,3066312.990000
0.000836,0.006413,62580.000000,3549755.510000
0.000885,0.006427,61460.000000,4057961.790000
0.000962,0.006478,62530.000000,4314536.410000
0.000951,0.006511,68730.000000,4705596.860000
