TS1_DELAY,TS2_DELAY,TS1_THROUGHPUT,TS2_THROUGHPUT
0.000198,0.001203,100170.000000,1001839.260000
0.000327,0.001314,99740.000000,1974500.640000
0.000491,0.001493,100020.000000,2984959.190000
0.000730,0.001730,99960.000000,4006179.840000
0.000970,0.001985,98980.000000,4998939.930000
0.001326,0.002347,98410.000000,5943354.470000
0.001791,0.002756,99590.000000,6873958.150000
0.002475,0.003422,98480.000000,7818010.630000
0.003152,0.004192,96400.000000,8716659.790000
0.003922,0.004869,93420.000000,9367187.150000
