TS1_DELAY,TS2_DELAY,TS1_THROUGHPUT,TS2_THROUGHPUT
0.000320,0.002988,97920.000000,968783.270000
0.000414,0.003335,94080.000000,2022015.540000
0.000522,0.003602,103300.000000,2918344.870000
0.000636,0.003995,100560.000000,3910990.460000
0.000731,0.004353,104200.000000,4816860.680000
0.000817,0.004707,102760.000000,5677682.700000
0.000845,0.005043,99880.000000,6312289.040000
0.000941,0.005371,103640.000000,7083449.570000
0.000987,0.005693,100680.000000,7696438.910000
0.001030,0.006003,101380.000000,8165065.540000
