TS1_DELAY,TS2_DELAY,TS1_THROUGHPUT,TS2_THROUGHPUT
0.000501,0.005080,95810.000000,924175.080000
0.000579,0.005290,98880.000000,1880865.580000
0.000671,0.005471,100950.000000,2660591.210000
0.000739,0.005675,104040.000000,3507244.470000
0.000823,0.005756,98210.000000,4169046.830000
0.000899,0.005896,98950.000000,4759094.640000
0.000955,0.006049,100210.000000,5373771.970000
0.000960,0.006194,107000.000000,5904433.190000
0.001044,0.006365,100630.000000,6471214.760000
0.001096,0.006440,97490.000000,6907965.280000
