TS1_DELAY,TS2_DELAY,TS1_THROUGHPUT,TS2_THROUGHPUT
0.000589,0.006084,63390.000000,574959.200000
0.000720,0.006065,57710.000000,1122509.260000
0.000753,0.006145,57810.000000,1673475.090000
0.000937,0.006229,54450.000000,2292132.260000
0.000938,0.006208,48870.000000,2726516.910000
0.001133,0.006312,50980.000000,3056707.090000
0.001170,0.006363,50420.000000,3536919.240000
0.001165,0.006378,48750.000000,4036732.010000
0.001372,0.006432,48140.000000,4299833.370000
0.001456,0.006445,52040.000000,4674408.820000
