TS1_DELAY,TS2_DELAY,TS1_THROUGHPUT,TS2_THROUGHPUT
0.000204,0.001202,100170.000000,1001839.260000
0.000377,0.001311,99740.000000,1974500.640000
0.000639,0.001488,100020.000000,2984959.190000
0.001063,0.001722,99960.000000,4006343.810000
0.001711,0.001974,99040.000000,5000435.950000
0.002838,0.002340,98470.000000,5950086.520000
0.004791,0.002763,100180.000000,6890232.760000
0.008587,0.003493,99730.000000,7866364.330000
0.015280,0.004341,97980.000000,8787088.550000
0.024641,0.005124,93470.000000,9477609.150000
