TS1_DELAY,TS2_DELAY,TS1_THROUGHPUT,TS2_THROUGHPUT
0.000819,0.006095,64770.000000,577530.570000
0.001389,0.006073,61980.000000,1132285.390000
0.001577,0.006152,62440.000000,1681395.610000
0.002179,0.006232,61610.000000,2298987.160000
0.002453,0.006224,56380.000000,2739266.530000
0.002548,0.006323,59390.000000,3069365.860000
0.003542,0.006376,61680.000000,3554495.670000
0.003611,0.006392,60680.000000,4061165.660000
0.003926,0.006444,61200.000000,4318795.300000
0.004327,0.006472,66530.000000,4712279.460000
