TS1_DELAY,TS2_DELAY,TS1_THROUGHPUT,TS2_THROUGHPUT
0.000887,0.005042,95590.000000,924518.500000
0.001459,0.005248,98230.000000,1881699.470000
0.002039,0.005422,99500.000000,2662456.170000
0.002821,0.005624,101700.000000,3513439.750000
0.003579,0.005708,95810.000000,4179187.430000
0.004404,0.005836,94660.000000,4766692.150000
0.004952,0.005985,96720.000000,5384430.750000
0.006040,0.006134,100820.000000,5925232.880000
0.007616,0.006290,95280.000000,6490547.340000
0.008506,0.006379,90950.000000,6932963.340000
